Unnamed: 0	transcript	name	gene	n_readlength	maxmean_readlength	sigma_readlength	prop_readlength	min_readlength	n_polyA	maxmean_polyA	sigma_polyA	prop_polyA	min_polyA	t5	transcript_id	hist5p	hist3p
15	ENSMUST00000000476	Pdgfra	ENSMUSG00000029231	67.0	1989.13942900883	1010.02904540015	0.548461691046215	231.0	48.0	177.898133070122	89.7436859099053	0.542527900696485	8.21	0.61334479408686604	ENSMUST00000000476	0.014925373134328358,0.014925373134328358,0.014925373134328358,0.0,0.04477611940298507,0.14925373134328357,0.11940298507462686,0.1791044776119403,0.19402985074626866,0.26865671641791045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.014925373134328358,0.0,0.0,0.014925373134328358,0.1044776119402985,0.0,0.0,0.8656716417910447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16	ENSMUST00000000505	Mcm7	ENSMUSG00000029730	282.0	1762.0248542491	634.757813779928	0.537271051712104	219.0	216.0	149.200716869238	70.1583222439571	0.523150441949086	4.84	6.9143816480320899	ENSMUST00000000505	0.0035460992907801418,0.11347517730496454,0.09574468085106383,0.06028368794326241,0.07446808510638298,0.12056737588652482,0.14893617021276595,0.1453900709219858,0.20212765957446807,0.03546099290780142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0070921985815602835,0.0070921985815602835,0.0035460992907801418,0.0,0.0070921985815602835,0.0,0.0035460992907801418,0.9716312056737588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17	ENSMUST00000000579	Sox9	ENSMUSG00000000567	370.0	1553.22383802162	995.73238266526	0.587652470558262	192.0	259.0	167.619188629303	66.5745162853125	0.514155366055207	10.28	0.19037561254530799	ENSMUST00000000579	0.043243243243243246,0.02972972972972973,0.021621621621621623,0.024324324324324326,0.05945945945945946,0.06486486486486487,0.10270270270270271,0.22432432432432434,0.2945945945945946,0.13513513513513514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.002702702702702703,0.002702702702702703,0.0,0.0,0.07837837837837838,0.005405405405405406,0.0,0.016216216216216217,0.8945945945945946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18	ENSMUST00000000590	Rdx	ENSMUSG00000032050	63.0	1782.82329520867	1044.60345492998	0.59182909820025	293.0	46.0	142.077277438966	63.83810997421	0.53686962383069	11.97	--	ENSMUST00000000590	0.031746031746031744,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.06349206349206349,0.06349206349206349,0.19047619047619047,0.09523809523809523,0.31746031746031744,0.19047619047619047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9841269841269841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19	ENSMUST00000000594	C1d	ENSMUSG00000000581	80.0	1062.83473656606	404.318895709356	0.441268925141266	189.0	58.0	163.914969950982	80.4881975466841	0.546505701196661	10.27	3.3341247377204302	ENSMUST00000000594	0.575,0.2375,0.15,0.0125,0.0125,0.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.025,0.05,0.8625,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20	ENSMUST00000000642	Hk2	ENSMUSG00000000628	30.0	1655.02108869386	753.006062559669	0.521260588757385	316.0	23.0	162.940322603842	51.296328998014	0.522853832487064	5.12	0.44412101002925503	ENSMUST00000000642	0.0,0.0,0.0,0.06666666666666667,0.0,0.03333333333333333,0.16666666666666666,0.23333333333333334,0.26666666666666666,0.23333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.9666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21	ENSMUST00000000727	Rab5b	ENSMUSG00000000711	102.0	1826.06634533715	885.02106343559	0.542836814720323	183.0	73.0	166.807234063221	58.1299588037533	0.494854813004661	6.26	3.3376805361755402	ENSMUST00000000727	0.09803921568627451,0.029411764705882353,0.058823529411764705,0.0392156862745098,0.12745098039215685,0.08823529411764706,0.10784313725490197,0.18627450980392157,0.2549019607843137,0.00980392156862745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.00980392156862745,0.0196078431372549,0.0,0.0,0.0,0.0,0.00980392156862745,0.0,0.9607843137254902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22	ENSMUST00000000756	Rpl13	ENSMUSG00000000740	5641.0	775.052950988263	45.4769321701014	0.329938760069087	123.0	4439.0	103.748088146458	54.3308379880448	0.522575033580398	3.25	100	ENSMUST00000000756	0.3580925367842581,0.3758198900904095,0.04750930686048573,0.03882290374047155,0.03297287714944159,0.0496365892572239,0.04626839212905513,0.03385924481474916,0.016663712107782308,0.0003545470661230278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0003545470661230278,0.0007090941322460556,0.0007090941322460556,0.0007090941322460556,0.0014181882644921113,0.001950008863676653,0.0028363765289842226,0.9913135968799858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23	ENSMUST00000000767	Rpa1	ENSMUSG00000000751	54.0	2051.56972760248	840.86702459564	0.554353248227099	302.0	30.0	138.305276183402	42.1983250640993	0.529767512458165	7.76	8.5658933669822304	ENSMUST00000000767	0.2222222222222222,0.018518518518518517,0.037037037037037035,0.05555555555555555,0.018518518518518517,0.07407407407407407,0.12962962962962962,0.14814814814814814,0.24074074074074073,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.018518518518518517,0.0,0.0,0.0,0.018518518518518517,0.0,0.0,0.9629629629629629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24	ENSMUST00000000793	Polr3d	ENSMUSG00000000776	16.0	1284.69448466995	427.214545201481	0.491190111116698	277.0	10.0	213.027726852794	104.838743348555	0.60839947112879	39.0	0.61587132333442995	ENSMUST00000000793	0.0625,0.0,0.0,0.3125,0.0,0.1875,0.0625,0.3125,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25	ENSMUST00000000844	Tpd52l2	ENSMUSG00000000827	24.0	1340.48470740898	559.49844482703	0.536696652379832	302.0	19.0	192.344287949471	104.848712528231	0.556330265634294	22.19	8.5798235718427591	ENSMUST00000000844	0.5416666666666666,0.125,0.08333333333333333,0.08333333333333333,0.125,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.375,0.20833333333333334,0.20833333333333334,0.0,0.20833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26	ENSMUST00000000985	Oxa1l	ENSMUSG00000000959	87.0	1562.02652962935	270.427677122904	0.527652584584106	206.0	60.0	137.54670426373	62.3727193128188	0.524851468965439	19.72	8.6717347720754407	ENSMUST00000000985	0.5287356321839081,0.10344827586206896,0.09195402298850575,0.16091954022988506,0.09195402298850575,0.011494252873563218,0.0,0.0,0.011494252873563218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.9195402298850575,0.022988505747126436,0.0,0.0,0.05747126436781609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27	ENSMUST00000001042	Ilf2	ENSMUSG00000001016	174.0	1673.72094956233	177.566518725561	0.651970916373465	212.0	134.0	159.681463108962	64.8753905451219	0.513893059157628	17.54	9.5511529904795704	ENSMUST00000001042	0.3448275862068966,0.05747126436781609,0.10344827586206896,0.05172413793103448,0.08045977011494253,0.14367816091954022,0.11494252873563218,0.05747126436781609,0.040229885057471264,0.005747126436781609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7298850574712644,0.0,0.27011494252873564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28	ENSMUST00000001043	Chtop	ENSMUSG00000001017	61.0	1417.38527696171	664.603067968338	0.543023688671289	198.0	49.0	174.465763346237	77.7663858158889	0.533583805046153	20.46	2.6993324217550501	ENSMUST00000001043	0.01639344262295082,0.03278688524590164,0.03278688524590164,0.01639344262295082,0.06557377049180328,0.19672131147540983,0.26229508196721313,0.09836065573770492,0.2459016393442623,0.03278688524590164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.01639344262295082,0.18032786885245902,0.01639344262295082,0.7868852459016393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29	ENSMUST00000001046	S100a4	ENSMUSG00000001020	7658.0	558.964228443778	34.4967033305781	0.244326579806165	155.0	6039.0	126.374877378205	58.3784704470899	0.500157545948142	1.0	--	ENSMUST00000001046	0.8251501697571167,0.0450509271350222,0.03617132410551058,0.02259075476625751,0.025855314703577957,0.025985897101070774,0.009271350221990075,0.008879603029511622,0.0010446591799425438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.00013058239749281798,0.0007834943849569079,0.00026116479498563595,0.0005223295899712719,0.002872812744841995,0.0067902846696265345,0.9886393314181249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30	ENSMUST00000001051	S100a6	ENSMUSG00000001025	7916.0	498.955639698531	34.6485175786526	0.198435846414593	140.0	6092.0	130.6698915267	57.4531388367007	0.495235415750866	2.55	100	ENSMUST00000001051	0.0010104837691044587,0.0011367942402425162,0.00012631047113805733,0.02526209422761147,0.9019830743968675,0.030061892130857647,0.019451812555260833,0.01667298219022357,0.004041935076417835,0.00025262094227611467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0008841732979664014,0.0007578628268283441,0.006568144499178982,0.9917898193760263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31	ENSMUST00000001127	Poldip2	ENSMUSG00000001100	119.0	1631.38114528292	350.535042032248	0.578768211573986	207.0	89.0	163.64448795091	66.6273349415536	0.534478115003948	23.96	5.9816264702093296	ENSMUST00000001127	0.31932773109243695,0.11764705882352941,0.05042016806722689,0.12605042016806722,0.07563025210084033,0.09243697478991597,0.05042016806722689,0.06722689075630252,0.08403361344537816,0.01680672268907563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.008403361344537815,0.0,0.0,0.0,0.0,0.0,0.3865546218487395,0.008403361344537815,0.5966386554621849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32	ENSMUST00000001186	Snrnp27	ENSMUSG00000001158	83.0	866.657912346183	34.045470039758	0.401208613079192	170.0	59.0	150.31021837146	62.7766575996674	0.514080656656829	3.48	8.8150877037662507	ENSMUST00000001186	0.6626506024096386,0.012048192771084338,0.0963855421686747,0.060240963855421686,0.04819277108433735,0.024096385542168676,0.060240963855421686,0.024096385542168676,0.012048192771084338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.012048192771084338,0.0,0.0,0.07228915662650602,0.9156626506024096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33	ENSMUST00000001187	Anxa4	ENSMUSG00000029994	159.0	1990.10169770121	37.9335289028769	0.693214560364262	211.0	126.0	154.768788151226	68.524434275096	0.537963710268243	21.37	16.243158136090202	ENSMUST00000001187	0.5031446540880503,0.03773584905660377,0.025157232704402517,0.09433962264150944,0.06289308176100629,0.07547169811320754,0.06289308176100629,0.10062893081761007,0.031446540880503145,0.006289308176100629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.006289308176100629,0.0,0.0,0.0,0.018867924528301886,0.24528301886792453,0.0,0.0,0.7295597484276729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34	ENSMUST00000001204	Calm1	ENSMUSG00000001175	388.0	976.75255511622	317.427816464106	0.478009918949322	183.0	276.0	125.340538620757	59.6617941048794	0.513049575009338	3.0	6.8961588783025203	ENSMUST00000001204	0.14690721649484537,0.35051546391752575,0.4097938144329897,0.07474226804123711,0.0,0.005154639175257732,0.005154639175257732,0.002577319587628866,0.005154639175257732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.010309278350515464,0.020618556701030927,0.9458762886597938,0.0,0.0,0.002577319587628866,0.0,0.0,0.020618556701030927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35	ENSMUST00000001319	Efnb2	ENSMUSG00000001300	57.0	1884.36590856484	1212.72573126028	0.611265201629583	226.0	39.0	185.090199312665	75.3637918008174	0.512358262622704	7.74	0.28534420955000001	ENSMUST00000001319	0.017543859649122806,0.017543859649122806,0.05263157894736842,0.03508771929824561,0.03508771929824561,0.05263157894736842,0.05263157894736842,0.3157894736842105,0.19298245614035087,0.22807017543859648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.017543859649122806,0.017543859649122806,0.0,0.0,0.0,0.9649122807017544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36	ENSMUST00000001326	Sp1	ENSMUSG00000001280	88.0	1895.73363250938	996.334251808012	0.550952287496765	217.0	62.0	172.723503374223	65.1288092715183	0.508420377636336	5.72	0.68419878349693697	ENSMUST00000001326	0.022727272727272728,0.0,0.0,0.022727272727272728,0.06818181818181818,0.07954545454545454,0.056818181818181816,0.14772727272727273,0.36363636363636365,0.23863636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.022727272727272728,0.0,0.10227272727272728,0.0,0.011363636363636364,0.0,0.8636363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37	ENSMUST00000001416	Hars	ENSMUSG00000001380	144.0	1951.36003915707	29.8071179190423	0.751651631022286	235.0	117.0	133.386169269997	62.962153184773	0.510314087326218	3.83	12.4958302666184	ENSMUST00000001416	0.2638888888888889,0.041666666666666664,0.06944444444444445,0.04861111111111111,0.0763888888888889,0.09722222222222222,0.1388888888888889,0.1111111111111111,0.11805555555555555,0.034722222222222224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38	ENSMUST00000001419	Zmat2	ENSMUSG00000001383	139.0	983.967615881794	290.405356660512	0.518510102132511	176.0	105.0	128.797259334887	55.3696136077114	0.514868196498349	15.5	5.8833685904533901	ENSMUST00000001419	0.3381294964028777,0.14388489208633093,0.17266187050359713,0.14388489208633093,0.08633093525179857,0.04316546762589928,0.0,0.03597122302158273,0.02877697841726619,0.007194244604316547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.02158273381294964,0.007194244604316547,0.1366906474820144,0.1366906474820144,0.5827338129496403,0.04316546762589928,0.0,0.0,0.07194244604316546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39	ENSMUST00000001452	Cct3	ENSMUSG00000001416	657.0	1958.73590356686	48.5931612511615	0.716007782397813	215.0	501.0	145.362275360319	64.8398885516367	0.510587022377308	3.87	7.8424266305874202	ENSMUST00000001452	0.3059360730593607,0.0547945205479452,0.0441400304414003,0.0669710806697108,0.076103500761035,0.0958904109589041,0.106544901065449,0.136986301369863,0.1004566210045662,0.0121765601217656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0015220700152207,0.0,0.0015220700152207,0.0,0.0,0.0,0.0030441400304414,0.0015220700152207,0.9923896499238964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40	ENSMUST00000001460	Snd1	ENSMUSG00000001424	228.0	1836.49268694702	1006.3140893459	0.578279159037951	263.0	171.0	168.691945671413	72.8909485954397	0.526565896249123	20.0	13.3909603422512	ENSMUST00000001460	0.06578947368421052,0.02631578947368421,0.05701754385964912,0.021929824561403508,0.04824561403508772,0.10087719298245613,0.10964912280701754,0.18421052631578946,0.2894736842105263,0.09649122807017543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021929824561403508,0.0,0.9780701754385965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
