transcript	exonic_length	exonic_length_utr5	exonic_length_cds	exonic_length_utr3
ENSMUST00000187457	431	NA	NA	NA
ENSMUST00000194673	1498	NA	NA	NA
ENSMUST00000177791	498	NA	NA	NA
ENSMUST00000188505	621	NA	NA	NA
ENSMUST00000192092	621	NA	NA	NA
ENSMUST00000189428	2170	NA	NA	NA
ENSMUST00000190011	1495	NA	NA	NA
ENSMUST00000179665	699	NA	699	NA
ENSMUST00000188908	1224	405	684	135
ENSMUST00000192349	1499	NA	NA	NA
ENSMUST00000188864	923	58	669	196
ENSMUST00000185565	923	58	669	196
ENSMUST00000181549	1156	335	684	137
ENSMUST00000177579	543	NA	543	NA
ENSMUST00000185420	437	NA	NA	NA
ENSMUST00000193656	437	NA	NA	NA
ENSMUST00000190349	1223	400	684	139
ENSMUST00000191129	614	NA	NA	NA
ENSMUST00000193562	356	NA	NA	NA
ENSMUST00000194996	437	NA	NA	NA
ENSMUST00000186251	2166	NA	NA	NA
ENSMUST00000188769	1139	NA	NA	NA
ENSMUST00000187148	2846	228	2334	284
ENSMUST00000185319	435	NA	NA	NA
ENSMUST00000189518	923	58	669	196
ENSMUST00000188692	174	NA	NA	NA
ENSMUST00000115496	1224	405	684	135
ENSMUST00000178016	684	NA	684	NA
ENSMUST00000188647	1498	NA	NA	NA
ENSMUST00000191015	618	NA	NA	NA
ENSMUST00000191194	1498	NA	NA	NA
ENSMUST00000191476	438	NA	NA	NA
ENSMUST00000191738	1499	NA	NA	NA
ENSMUST00000187266	1498	NA	NA	NA
ENSMUST00000192444	621	NA	NA	NA
ENSMUST00000186083	622	NA	NA	NA
ENSMUST00000189888	2864	228	2349	287
ENSMUST00000190914	2165	NA	NA	NA
ENSMUST00000186540	622	NA	NA	NA
ENSMUST00000186047	1576	76	1143	357
ENSMUST00000185271	437	NA	NA	NA
ENSMUST00000186850	174	NA	NA	NA
ENSMUST00000185576	1220	403	684	133
ENSMUST00000186506	1498	NA	NA	NA
ENSMUST00000189623	901	NA	NA	NA
ENSMUST00000188102	383	NA	NA	NA
ENSMUST00000179219	543	NA	543	NA
ENSMUST00000186893	615	NA	NA	NA
ENSMUST00000190244	437	NA	NA	NA
ENSMUST00000193211	616	NA	NA	NA
ENSMUST00000190183	1495	NA	NA	NA
ENSMUST00000179949	1231	406	684	141
ENSMUST00000189253	1225	405	684	136
ENSMUST00000190126	1493	NA	NA	NA
ENSMUST00000192846	2169	NA	NA	NA
ENSMUST00000194353	437	NA	NA	NA
ENSMUST00000185740	437	NA	NA	NA
ENSMUST00000179623	309	NA	309	NA
ENSMUST00000187841	1493	NA	NA	NA
ENSMUST00000194672	621	NA	NA	NA
ENSMUST00000187767	437	NA	NA	NA
ENSMUST00000190443	437	NA	NA	NA
ENSMUST00000190765	437	NA	NA	NA
ENSMUST00000179136	684	NA	684	NA
ENSMUST00000189014	2168	NA	NA	NA
ENSMUST00000189463	1223	400	684	139
ENSMUST00000185236	1497	NA	NA	NA
ENSMUST00000189752	537	NA	NA	NA
ENSMUST00000191193	1499	NA	NA	NA
ENSMUST00000189313	437	NA	NA	NA
ENSMUST00000187577	352	NA	NA	NA
ENSMUST00000186967	456	NA	NA	NA
ENSMUST00000115891	2816	358	2334	124
ENSMUST00000195281	437	NA	NA	NA
ENSMUST00000165756	687	NA	687	NA
ENSMUST00000188554	1170	488	531	151
ENSMUST00000194805	1498	NA	NA	NA
ENSMUST00000188613	648	NA	NA	NA
ENSMUST00000193996	1498	NA	NA	NA
ENSMUST00000192398	432	NA	NA	NA
ENSMUST00000189201	3115	405	684	2026
ENSMUST00000186550	174	NA	NA	NA
ENSMUST00000188667	1499	NA	NA	NA
ENSMUST00000188659	621	NA	NA	NA
ENSMUST00000190314	174	NA	NA	NA
ENSMUST00000190453	932	58	669	205
ENSMUST00000189261	356	NA	NA	NA
ENSMUST00000188331	2168	NA	NA	NA
ENSMUST00000189111	615	NA	NA	NA
ENSMUST00000187887	842	NA	NA	NA
ENSMUST00000189084	811	48	567	196
ENSMUST00000180130	699	NA	699	NA
ENSMUST00000188948	622	NA	NA	NA
ENSMUST00000187200	2166	NA	NA	NA
ENSMUST00000188916	283	NA	NA	NA
ENSMUST00000193756	1498	NA	NA	NA
ENSMUST00000195063	1499	NA	NA	NA
ENSMUST00000187418	1219	400	684	135
ENSMUST00000190806	931	58	669	204
ENSMUST00000191175	430	NA	NA	NA
ENSMUST00000192136	621	NA	NA	NA
ENSMUST00000187482	1561	57	1143	361
ENSMUST00000188980	300	NA	NA	NA
ENSMUST00000189422	923	58	669	196
ENSMUST00000178519	543	NA	543	NA
ENSMUST00000187784	437	NA	NA	NA
ENSMUST00000188076	437	NA	NA	NA
ENSMUST00000188058	182	NA	NA	NA
ENSMUST00000190839	433	NA	NA	NA
ENSMUST00000178889	1002	175	684	143
ENSMUST00000191185	1500	NA	NA	NA
ENSMUST00000187889	484	NA	NA	NA
ENSMUST00000188176	457	NA	NA	NA
ENSMUST00000192169	434	NA	NA	NA
ENSMUST00000154004	4267	290	3450	527
ENSMUST00000195660	1495	NA	NA	NA
ENSMUST00000191085	1498	NA	NA	NA
ENSMUST00000187822	619	NA	NA	NA
ENSMUST00000186518	622	NA	NA	NA
ENSMUST00000191270	1498	NA	NA	NA
ENSMUST00000195154	437	NA	NA	NA
ENSMUST00000188792	1498	NA	NA	NA
ENSMUST00000189149	437	NA	NA	NA
ENSMUST00000185322	622	NA	NA	NA
ENSMUST00000189073	1358	535	693	130
ENSMUST00000180074	498	NA	NA	NA
ENSMUST00000091190	4600	106	1977	2517
ENSMUST00000168551	336	NA	336	NA
ENSMUST00000186679	537	NA	NA	NA
ENSMUST00000188904	2165	NA	NA	NA
ENSMUST00000189604	2167	NA	NA	NA
ENSMUST00000190221	1498	NA	NA	NA
ENSMUST00000189093	435	NA	NA	NA
ENSMUST00000185801	620	NA	NA	NA
ENSMUST00000186248	1493	NA	NA	NA
ENSMUST00000178447	684	NA	684	NA
ENSMUST00000185620	1499	NA	NA	NA
ENSMUST00000193488	437	NA	NA	NA
ENSMUST00000191071	537	NA	NA	NA
ENSMUST00000187675	2165	NA	NA	NA
ENSMUST00000191136	1493	NA	NA	NA
ENSMUST00000188678	2168	NA	NA	NA
ENSMUST00000190867	1485	NA	NA	NA
ENSMUST00000191098	1139	NA	NA	NA
ENSMUST00000192583	618	NA	NA	NA
ENSMUST00000191716	621	NA	NA	NA
ENSMUST00000187794	2168	NA	NA	NA
ENSMUST00000178249	498	NA	NA	NA
ENSMUST00000195795	621	NA	NA	NA
ENSMUST00000177925	498	NA	NA	NA
ENSMUST00000188447	2167	NA	NA	NA
ENSMUST00000185669	431	NA	NA	NA
ENSMUST00000178865	498	NA	NA	NA
ENSMUST00000186753	431	NA	NA	NA
ENSMUST00000187087	1498	NA	NA	NA
ENSMUST00000187502	1493	NA	NA	NA
ENSMUST00000185747	437	NA	NA	NA
ENSMUST00000179595	684	NA	684	NA
ENSMUST00000185889	622	NA	NA	NA
ENSMUST00000189751	174	NA	NA	NA
ENSMUST00000189350	452	NA	NA	NA
ENSMUST00000190946	930	58	669	203
ENSMUST00000187335	621	NA	NA	NA
ENSMUST00000189796	619	NA	NA	NA
ENSMUST00000189567	1493	NA	NA	NA
ENSMUST00000194669	621	NA	NA	NA
ENSMUST00000185613	351	NA	NA	NA
ENSMUST00000190622	438	NA	NA	NA
ENSMUST00000178396	684	NA	684	NA
ENSMUST00000191974	619	NA	NA	NA
ENSMUST00000188473	174	NA	NA	NA
ENSMUST00000192881	437	NA	NA	NA
ENSMUST00000188917	933	58	669	206
ENSMUST00000187292	1495	NA	NA	NA
ENSMUST00000195759	1499	NA	NA	NA
ENSMUST00000185667	931	58	669	204
ENSMUST00000187387	2166	NA	NA	NA
ENSMUST00000180329	567	NA	567	NA
ENSMUST00000189632	2167	NA	NA	NA
ENSMUST00000194784	615	NA	NA	NA
ENSMUST00000191665	1498	NA	NA	NA
ENSMUST00000190820	166	NA	NA	NA
ENSMUST00000188639	437	NA	NA	NA
ENSMUST00000189442	436	NA	NA	NA
ENSMUST00000193275	621	NA	NA	NA
ENSMUST00000178941	498	NA	NA	NA
ENSMUST00000192820	615	NA	NA	NA
ENSMUST00000190140	1500	NA	NA	NA
ENSMUST00000189224	174	NA	NA	NA
ENSMUST00000188061	437	NA	NA	NA
ENSMUST00000191490	2168	NA	NA	NA
ENSMUST00000193841	437	NA	NA	NA
ENSMUST00000191052	174	NA	NA	NA
ENSMUST00000185506	621	NA	NA	NA
ENSMUST00000186332	622	NA	NA	NA
ENSMUST00000191924	437	NA	NA	NA
ENSMUST00000177663	684	NA	684	NA
ENSMUST00000187350	174	NA	NA	NA
ENSMUST00000194662	619	NA	NA	NA
ENSMUST00000191048	352	NA	NA	NA
ENSMUST00000186269	1499	NA	NA	NA
ENSMUST00000194818	621	NA	NA	NA
ENSMUST00000186996	924	58	669	197
ENSMUST00000179284	543	NA	543	NA
ENSMUST00000185451	1498	NA	NA	NA
ENSMUST00000139365	4684	172	3636	876
ENSMUST00000190565	1216	392	684	140
ENSMUST00000194799	621	NA	NA	NA
ENSMUST00000187029	1495	NA	NA	NA
ENSMUST00000195198	1495	NA	NA	NA
ENSMUST00000188940	431	NA	NA	NA
ENSMUST00000190328	437	NA	NA	NA
ENSMUST00000189274	437	NA	NA	NA
ENSMUST00000186209	602	NA	NA	NA
ENSMUST00000195020	1498	NA	NA	NA
ENSMUST00000194724	437	NA	NA	NA
ENSMUST00000191968	1504	NA	NA	NA
ENSMUST00000192694	438	NA	NA	NA
ENSMUST00000193655	438	NA	NA	NA
ENSMUST00000190660	1494	NA	NA	NA
ENSMUST00000190325	622	NA	NA	NA
ENSMUST00000186236	1499	NA	NA	NA
ENSMUST00000187476	499	NA	NA	NA
ENSMUST00000191152	437	NA	NA	NA
ENSMUST00000187906	608	NA	NA	NA
ENSMUST00000185289	2167	NA	NA	NA
ENSMUST00000190508	437	NA	NA	NA
ENSMUST00000187224	1499	NA	NA	NA
ENSMUST00000188744	923	58	669	196
ENSMUST00000189187	2169	NA	NA	NA
ENSMUST00000195837	2169	NA	NA	NA
ENSMUST00000190987	1224	406	684	134
ENSMUST00000185537	174	NA	NA	NA
ENSMUST00000187598	830	NA	NA	NA
ENSMUST00000193419	458	NA	NA	NA
ENSMUST00000186791	437	NA	NA	NA
ENSMUST00000187571	1495	NA	NA	NA
ENSMUST00000189521	621	NA	NA	NA
ENSMUST00000187050	434	NA	NA	NA
ENSMUST00000186629	484	NA	NA	NA
ENSMUST00000185705	1224	406	684	134
ENSMUST00000186775	622	NA	NA	NA
ENSMUST00000187408	174	NA	NA	NA
ENSMUST00000191180	437	NA	NA	NA
ENSMUST00000186979	621	NA	NA	NA
ENSMUST00000188276	253	NA	NA	NA
ENSMUST00000187847	352	NA	NA	NA
ENSMUST00000189729	612	NA	NA	NA
ENSMUST00000190627	457	NA	NA	NA
ENSMUST00000180179	684	NA	684	NA
ENSMUST00000186457	431	NA	NA	NA
ENSMUST00000188653	2167	NA	NA	NA
ENSMUST00000191551	1495	NA	NA	NA
ENSMUST00000189379	1493	NA	NA	NA
ENSMUST00000178761	684	NA	684	NA
ENSMUST00000178050	543	NA	543	NA
ENSMUST00000188315	612	NA	NA	NA
ENSMUST00000195885	1499	NA	NA	NA
ENSMUST00000185287	622	NA	NA	NA
ENSMUST00000189637	431	NA	NA	NA
ENSMUST00000238676	1181	NA	NA	NA
ENSMUST00000185998	612	NA	NA	NA
ENSMUST00000193992	438	NA	NA	NA
ENSMUST00000187372	622	NA	NA	NA
ENSMUST00000187027	431	NA	NA	NA
ENSMUST00000189580	255	57	150	48
ENSMUST00000188690	2166	NA	NA	NA
ENSMUST00000143286	5083	61	3336	1686
ENSMUST00000186901	431	NA	NA	NA
ENSMUST00000195572	1227	NA	NA	NA
ENSMUST00000188537	431	NA	NA	NA
ENSMUST00000192673	397	NA	NA	NA
ENSMUST00000091188	8094	418	7671	5
ENSMUST00000189058	622	NA	NA	NA
ENSMUST00000195661	435	NA	NA	NA
ENSMUST00000186910	1230	406	684	140
ENSMUST00000178374	699	NA	699	NA
ENSMUST00000191555	352	NA	NA	NA
ENSMUST00000186321	1498	NA	NA	NA
ENSMUST00000178149	1226	400	684	142
ENSMUST00000193402	437	NA	NA	NA
ENSMUST00000189418	438	NA	NA	NA
ENSMUST00000195871	431	NA	NA	NA
ENSMUST00000189609	1498	NA	NA	NA
ENSMUST00000189429	2167	NA	NA	NA
ENSMUST00000188392	416	NA	NA	NA
ENSMUST00000177818	699	NA	699	NA
ENSMUST00000185625	537	NA	NA	NA
ENSMUST00000189399	1499	NA	NA	NA
ENSMUST00000190102	1512	NA	NA	NA
ENSMUST00000193918	1498	NA	NA	NA
ENSMUST00000187708	437	NA	NA	NA
ENSMUST00000190180	352	NA	NA	NA
ENSMUST00000189123	438	NA	NA	NA
ENSMUST00000188173	166	NA	NA	NA
ENSMUST00000091178	1188	NA	1188	NA
ENSMUST00000188422	1229	404	687	138
ENSMUST00000190256	622	NA	NA	NA
ENSMUST00000186589	2169	NA	NA	NA
ENSMUST00000189657	1497	NA	NA	NA
ENSMUST00000190596	433	NA	NA	NA
ENSMUST00000188556	621	NA	NA	NA
ENSMUST00000189669	935	NA	NA	NA
ENSMUST00000188585	921	55	669	197
ENSMUST00000195139	621	NA	NA	NA
ENSMUST00000187277	1576	76	1143	357
ENSMUST00000194268	1495	NA	NA	NA
ENSMUST00000179590	684	NA	684	NA
ENSMUST00000190577	174	NA	NA	NA
ENSMUST00000189525	437	NA	NA	NA
ENSMUST00000191190	1496	NA	NA	NA
ENSMUST00000195814	1498	NA	NA	NA
ENSMUST00000195188	1500	NA	NA	NA
ENSMUST00000195221	368	NA	NA	NA
ENSMUST00000190714	537	NA	NA	NA
ENSMUST00000185603	1499	NA	NA	NA
ENSMUST00000186673	437	NA	NA	NA
ENSMUST00000191054	2167	NA	NA	NA
ENSMUST00000188540	2167	NA	NA	NA
ENSMUST00000189342	356	NA	NA	NA
ENSMUST00000187496	2167	NA	NA	NA
ENSMUST00000192684	1497	NA	NA	NA
ENSMUST00000187174	622	NA	NA	NA
ENSMUST00000190543	325	NA	NA	NA
ENSMUST00000187201	1489	NA	NA	NA
ENSMUST00000191259	1493	NA	NA	NA
ENSMUST00000188011	1224	400	684	140
ENSMUST00000187047	621	NA	NA	NA
ENSMUST00000170889	687	NA	687	NA
ENSMUST00000188438	622	NA	NA	NA
ENSMUST00000177893	309	NA	NA	NA
ENSMUST00000188084	1157	NA	NA	NA
ENSMUST00000190611	356	NA	NA	NA
ENSMUST00000069309	5208	166	3639	1403
ENSMUST00000180310	1143	NA	1143	NA
ENSMUST00000187289	2159	NA	NA	NA
ENSMUST00000195056	622	NA	NA	NA
ENSMUST00000186630	174	NA	NA	NA
ENSMUST00000189948	2168	NA	NA	NA
ENSMUST00000191901	621	NA	NA	NA
ENSMUST00000190437	2169	NA	NA	NA
ENSMUST00000194569	437	NA	NA	NA
ENSMUST00000190380	352	NA	NA	NA
ENSMUST00000191495	433	NA	NA	NA
ENSMUST00000180324	684	NA	684	NA
ENSMUST00000190828	615	NA	NA	NA
ENSMUST00000195452	619	NA	NA	NA
ENSMUST00000191017	437	NA	NA	NA
ENSMUST00000188645	437	NA	NA	NA
ENSMUST00000190561	537	NA	NA	NA
ENSMUST00000185442	2167	NA	NA	NA
ENSMUST00000192472	440	NA	NA	NA
ENSMUST00000187840	437	NA	NA	NA
ENSMUST00000179256	758	NA	684	74
ENSMUST00000189237	437	NA	NA	NA
ENSMUST00000178181	1229	401	684	144
ENSMUST00000190482	438	NA	NA	NA
ENSMUST00000190076	612	NA	NA	NA
ENSMUST00000189170	622	NA	NA	NA
ENSMUST00000188071	2167	NA	NA	NA
ENSMUST00000189021	2167	NA	NA	NA
ENSMUST00000187114	356	NA	NA	NA
ENSMUST00000191675	923	58	669	196
ENSMUST00000185339	457	NA	NA	NA
ENSMUST00000188417	2168	NA	NA	NA
ENSMUST00000187441	174	NA	NA	NA
ENSMUST00000186065	294	NA	NA	NA
ENSMUST00000186607	436	NA	NA	NA
ENSMUST00000191144	437	NA	NA	NA
ENSMUST00000192308	435	NA	NA	NA
ENSMUST00000193738	437	NA	NA	NA
ENSMUST00000190197	437	NA	NA	NA
ENSMUST00000190657	398	NA	NA	NA
ENSMUST00000189278	437	NA	NA	NA
ENSMUST00000191077	174	NA	NA	NA
ENSMUST00000192310	1152	NA	NA	NA
ENSMUST00000187225	431	NA	NA	NA
ENSMUST00000192525	437	NA	NA	NA
ENSMUST00000180134	498	NA	NA	NA
ENSMUST00000190933	352	NA	NA	NA
ENSMUST00000186199	174	NA	NA	NA
ENSMUST00000192711	2169	NA	NA	NA
ENSMUST00000189587	437	NA	NA	NA
ENSMUST00000189577	926	58	669	199
ENSMUST00000191389	1498	NA	NA	NA
ENSMUST00000186916	2169	NA	NA	NA
ENSMUST00000189630	1343	518	699	126
ENSMUST00000187228	172	NA	NA	NA
ENSMUST00000187181	3005	NA	NA	NA
ENSMUST00000186902	1493	NA	NA	NA
ENSMUST00000189475	1494	NA	NA	NA
ENSMUST00000186801	1498	NA	NA	NA
ENSMUST00000190065	438	NA	NA	NA
ENSMUST00000186123	2167	NA	NA	NA
ENSMUST00000188107	437	NA	NA	NA
ENSMUST00000194950	622	NA	NA	NA
ENSMUST00000065545	2783	228	2349	206
ENSMUST00000179522	543	NA	543	NA
ENSMUST00000185898	416	NA	NA	NA
ENSMUST00000191344	1158	NA	NA	NA
ENSMUST00000189321	827	NA	NA	NA
ENSMUST00000193405	621	NA	NA	NA
ENSMUST00000187381	174	NA	NA	NA
ENSMUST00000186564	536	NA	NA	NA
ENSMUST00000185592	2166	NA	NA	NA
ENSMUST00000187780	2165	NA	NA	NA
ENSMUST00000177888	498	NA	NA	NA
ENSMUST00000186400	235	NA	NA	NA
ENSMUST00000192493	397	NA	NA	NA
ENSMUST00000189579	2171	NA	NA	NA
ENSMUST00000187762	1498	NA	NA	NA
ENSMUST00000187582	537	NA	NA	NA
ENSMUST00000190517	166	NA	NA	NA
ENSMUST00000187878	297	NA	NA	NA
ENSMUST00000187856	1223	400	684	139
ENSMUST00000188721	174	NA	NA	NA
ENSMUST00000188167	2166	NA	NA	NA
ENSMUST00000178428	543	NA	543	NA
ENSMUST00000186305	2166	NA	NA	NA
ENSMUST00000187203	1494	NA	NA	NA
ENSMUST00000195499	438	NA	NA	NA
ENSMUST00000190516	1229	404	687	138
ENSMUST00000190344	431	NA	NA	NA
ENSMUST00000192897	435	NA	NA	NA
ENSMUST00000192545	1499	NA	NA	NA
ENSMUST00000187245	1338	518	699	121
ENSMUST00000189979	2167	NA	NA	NA
ENSMUST00000189989	2166	NA	NA	NA
ENSMUST00000185608	437	NA	NA	NA
ENSMUST00000194949	1495	NA	NA	NA
ENSMUST00000192516	1497	NA	NA	NA
ENSMUST00000179508	1143	NA	1143	NA
ENSMUST00000187402	1493	NA	NA	NA
ENSMUST00000187337	1499	NA	NA	NA
ENSMUST00000186562	1498	NA	NA	NA
ENSMUST00000186990	2167	NA	NA	NA
ENSMUST00000179922	990	176	684	130
ENSMUST00000188790	434	NA	NA	NA
ENSMUST00000188809	537	NA	NA	NA
ENSMUST00000188814	1498	NA	NA	NA
ENSMUST00000190426	1221	403	684	134
ENSMUST00000185217	374	NA	NA	NA
ENSMUST00000193296	621	NA	NA	NA
ENSMUST00000188764	174	NA	NA	NA
ENSMUST00000189003	1341	522	576	243
ENSMUST00000188462	621	NA	NA	NA
ENSMUST00000192101	1498	NA	NA	NA
ENSMUST00000191165	174	NA	NA	NA
ENSMUST00000178900	684	NA	684	NA
ENSMUST00000189495	173	NA	NA	NA
ENSMUST00000188651	650	NA	NA	NA
ENSMUST00000188233	431	NA	NA	NA
ENSMUST00000195184	437	NA	NA	NA
ENSMUST00000178452	498	NA	NA	NA
ENSMUST00000187703	435	NA	NA	NA
ENSMUST00000188696	438	NA	NA	NA
ENSMUST00000186161	618	NA	NA	NA
ENSMUST00000194878	438	NA	NA	NA
ENSMUST00000190782	923	58	669	196
ENSMUST00000192521	922	58	669	195
ENSMUST00000190688	174	NA	NA	NA
ENSMUST00000191123	923	58	669	196
ENSMUST00000193731	437	NA	NA	NA
ENSMUST00000187696	621	NA	NA	NA
ENSMUST00000190919	2166	NA	NA	NA
ENSMUST00000179523	684	NA	684	NA
ENSMUST00000188526	457	NA	NA	NA
ENSMUST00000188530	1498	NA	NA	NA
ENSMUST00000189125	618	NA	NA	NA
ENSMUST00000190230	437	NA	NA	NA
ENSMUST00000187191	352	NA	NA	NA
ENSMUST00000187950	437	NA	NA	NA
ENSMUST00000191305	925	58	669	198
ENSMUST00000187813	437	NA	NA	NA
ENSMUST00000190283	1708	208	1143	357
ENSMUST00000193438	1495	NA	NA	NA
ENSMUST00000190144	2162	NA	NA	NA
ENSMUST00000190808	612	NA	NA	NA
ENSMUST00000188644	437	NA	NA	NA
ENSMUST00000188202	174	NA	NA	NA
ENSMUST00000191031	628	NA	NA	NA
ENSMUST00000188091	1573	76	1143	354
ENSMUST00000187434	1341	518	699	124
ENSMUST00000187993	621	NA	NA	NA
ENSMUST00000188638	174	NA	NA	NA
ENSMUST00000189214	416	NA	NA	NA
ENSMUST00000190138	621	NA	NA	NA
ENSMUST00000191879	622	NA	NA	NA
ENSMUST00000179558	684	NA	684	NA
ENSMUST00000208134	1438	204	906	328
ENSMUST00000177236	4032	170	693	3169
ENSMUST00000084799	945	NA	945	NA
ENSMUST00000206296	845	279	306	260
ENSMUST00000098100	486	NA	NA	NA
ENSMUST00000076831	1025	497	453	75
ENSMUST00000176205	4372	370	3909	93
ENSMUST00000098060	3102	80	2307	715
ENSMUST00000124482	7300	118	531	6651
ENSMUST00000081684	702	95	582	25
ENSMUST00000047036	2239	72	1200	967
ENSMUST00000205319	1174	NA	NA	NA
ENSMUST00000210587	930	196	669	65
ENSMUST00000107669	1762	122	1344	296
ENSMUST00000219647	1456	166	1011	279
ENSMUST00000205943	667	NA	NA	NA
ENSMUST00000070943	1531	219	855	457
ENSMUST00000003468	3763	303	2940	520
ENSMUST00000233928	3767	116	2553	1098
ENSMUST00000086338	2682	1198	999	485
ENSMUST00000217812	437	46	255	136
ENSMUST00000137488	1697	242	450	1005
ENSMUST00000033006	1120	153	843	124
ENSMUST00000178209	906	NA	906	NA
ENSMUST00000207370	2147	174	1062	911
ENSMUST00000217217	945	NA	945	NA
ENSMUST00000107933	913	179	591	143
ENSMUST00000153577	506	NA	NA	NA
ENSMUST00000166972	3449	150	2934	365
ENSMUST00000094762	2209	196	1677	336
ENSMUST00000122066	5850	245	2604	3001
ENSMUST00000088687	924	NA	924	NA
ENSMUST00000168230	12965	104	2565	10296
ENSMUST00000208965	3003	NA	NA	NA
ENSMUST00000069562	855	38	696	121
ENSMUST00000210759	974	NA	NA	NA
ENSMUST00000120753	4332	439	2382	1511
ENSMUST00000079693	3065	27	2793	245
ENSMUST00000006828	2343	67	1965	311
ENSMUST00000214299	4715	891	945	2879
ENSMUST00000107305	5887	451	609	4827
ENSMUST00000174368	5052	116	1743	3193
ENSMUST00000051795	1467	NA	1467	NA
ENSMUST00000233729	9695	328	2493	6874
ENSMUST00000210288	918	528	333	57
ENSMUST00000186182	1512	28	1062	422
ENSMUST00000003536	1281	45	600	636
ENSMUST00000071798	1027	56	786	185
ENSMUST00000108023	2000	242	1227	531
ENSMUST00000208522	781	77	294	410
ENSMUST00000182511	4502	96	3171	1235
ENSMUST00000217167	3874	1874	915	1085
ENSMUST00000106007	2546	218	972	1356
ENSMUST00000106878	2829	238	951	1640
ENSMUST00000085623	579	76	339	164
ENSMUST00000211740	942	NA	942	NA
ENSMUST00000069035	828	NA	NA	NA
ENSMUST00000068394	1724	98	438	1188
ENSMUST00000086122	1890	538	1008	344
ENSMUST00000055745	4504	84	2022	2398
ENSMUST00000063920	870	NA	870	NA
ENSMUST00000032673	2529	327	1443	759
ENSMUST00000071804	2671	31	1221	1419
ENSMUST00000106314	1486	89	1101	296
ENSMUST00000207692	1569	NA	NA	NA
ENSMUST00000053716	3305	151	681	2473
ENSMUST00000145739	564	49	282	233
ENSMUST00000117872	4223	604	2172	1447
ENSMUST00000081924	663	50	315	298
ENSMUST00000067978	937	64	570	303
ENSMUST00000164759	7090	161	5544	1385
ENSMUST00000220193	3080	253	945	1882
ENSMUST00000118556	4566	71	3045	1450
ENSMUST00000052660	945	NA	945	NA
ENSMUST00000228793	2959	1072	915	972
ENSMUST00000078448	873	213	579	81
ENSMUST00000211214	2312	700	1392	220
ENSMUST00000208825	3133	NA	NA	NA
ENSMUST00000038608	2878	786	1422	670
ENSMUST00000007981	1295	132	597	566
ENSMUST00000032841	1134	61	852	221
